result_id,season_name,season_id,matchday_number,event_id,home_team,away_team,home_goals,away_goals,total_goals,o15,o25,u25,u35,gg,ng,has_core_odds,has_league_snapshot,over_15,over_25,under_25,under_35,gg_yes,ng_yes,home_win,draw,away_win
66347,VFLM 5271,vf:season:3096550,18,vf:season:3096550:18:Aston Villa:London Guns,Aston Villa,London Guns,4,1,5,1.35,2.15,1.65,1.22,1.85,1.85,True,True,True,True,False,False,True,False,True,False,False
167532,VFLM 5271,vf:season:3096550,18,vf:match:season:vflm5271:md:18:AstonVilla:ManchesterBlue,Aston Villa,Manchester Blue,2,1,3,,,,,,,False,True,True,True,False,True,True,False,True,False,False
66345,VFLM 5271,vf:season:3096550,18,vf:season:3096550:18:Bournemouth:Tottenham,Bournemouth,Tottenham,0,1,1,1.35,2.15,1.65,1.22,2.1,1.65,True,True,False,False,True,True,False,True,False,False,True
66340,VFLM 5271,vf:season:3096550,18,vf:season:3096550:18:Chelsea:Crystal Palace,Chelsea,Crystal Palace,2,0,2,1.16,1.5,2.35,1.55,1.95,1.75,True,True,True,False,True,True,False,True,True,False,False
167526,VFLM 5271,vf:season:3096550,18,vf:match:season:vflm5271:md:18:Chelsea:Everton,Chelsea,Everton,0,0,0,,,,,,,False,True,False,False,True,True,False,True,False,True,False
66346,VFLM 5271,vf:season:3096550,18,vf:season:3096550:18:Fulham:Newcastle,Fulham,Newcastle,1,2,3,1.4,2.25,1.6,1.2,2.0,1.75,True,True,True,True,False,True,True,False,False,False,True
167529,VFLM 5271,vf:season:3096550,18,vf:match:season:vflm5271:md:18:Leeds:Wolverhampton,Leeds,Wolverhampton,2,0,2,,,,,,,False,True,True,False,True,True,False,True,True,False,False
66344,VFLM 5271,vf:season:3096550,18,vf:season:3096550:18:Leeds:Everton,Leeds,Everton,1,1,2,1.85,3.65,1.25,1.03,2.7,1.4,True,True,True,False,True,True,True,False,False,True,False
66341,VFLM 5271,vf:season:3096550,18,vf:season:3096550:18:Liverpool:Manchester Blue,Liverpool,Manchester Blue,1,3,4,1.16,1.6,2.15,1.45,1.55,2.3,True,True,True,True,False,False,True,False,False,False,True
167525,VFLM 5271,vf:season:3096550,18,vf:match:season:vflm5271:md:18:Liverpool:Brighton,Liverpool,Brighton,0,1,1,,,,,,,False,True,False,False,True,True,False,True,False,False,True
167530,VFLM 5271,vf:season:3096550,18,vf:match:season:vflm5271:md:18:ManchesterRed:LondonGuns,Manchester Red,London Guns,3,2,5,,,,,,,False,True,True,True,False,False,True,False,True,False,False
